,POP100,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,Series Complete,Vax_Rate
1035,3993,3993,3562,2287,611,33,212,2,417,431,396,42,21,36,0,252,7,0,0,34,0,0,2,0,2,0,32,9,0,0,12,2,0,5,1,2,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3993,912,3081,2944,2117,574,10,209,2,32,137,124,26,19,36,0,27,7,0,0,8,0,0,0,0,1,0,12,5,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203659,100
1036,3075,3075,2808,2598,82,9,51,3,65,267,257,22,38,51,0,132,6,2,0,2,0,0,1,1,2,0,6,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3075,277,2798,2652,2511,71,3,50,1,16,146,140,18,28,46,0,37,6,2,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,203659,100
1037,5022,5022,4561,3910,228,14,169,0,240,461,420,76,44,57,0,218,4,0,0,18,0,0,1,1,1,0,32,21,1,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5022,680,4342,4142,3735,205,6,166,0,30,200,191,64,40,55,0,24,2,0,0,4,0,0,0,1,1,0,7,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203659,100
1038,2888,2888,2607,2116,236,18,71,0,166,281,259,18,15,26,0,177,1,1,0,7,4,0,4,0,6,0,10,2,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2888,510,2378,2294,1992,214,7,71,0,10,84,78,13,13,22,0,21,1,0,0,3,3,0,0,0,2,0,6,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203659,100
1039,1627,1627,1451,1177,96,13,52,0,113,176,170,14,21,11,0,117,2,0,0,4,0,0,1,0,0,0,6,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627,287,1340,1265,1108,91,4,48,0,14,75,73,14,19,11,0,27,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203659,100
1040,4542,4542,4017,2797,524,43,94,1,558,525,493,81,30,24,2,301,5,3,0,27,0,0,12,0,2,6,24,12,0,0,0,0,0,3,1,1,0,2,0,4,0,1,0,0,0,0,0,7,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4542,1154,3388,3206,2593,484,12,94,1,22,182,176,72,22,20,2,49,4,2,0,5,0,0,0,0,0,0,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203659,100
1041,5777,5777,5260,4230,303,31,185,2,509,517,490,39,17,34,4,350,7,7,0,24,2,0,0,0,3,3,23,10,3,0,4,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5777,1205,4572,4422,3964,260,5,169,1,23,150,138,28,17,27,3,44,7,7,0,0,2,0,0,0,0,3,11,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,203659,100
1042,2994,2994,2688,2452,50,11,41,4,130,306,275,17,25,15,0,190,4,2,2,15,0,0,2,3,0,0,29,8,0,0,10,0,0,8,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2994,413,2581,2471,2344,50,7,39,0,31,110,94,16,23,15,0,27,4,2,2,0,0,0,2,3,0,0,16,6,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203659,100
1043,2714,2714,2378,1247,495,9,258,5,364,336,306,30,9,17,1,197,9,6,0,32,0,0,1,0,3,1,28,6,1,0,13,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2714,783,1931,1834,1111,458,0,246,2,17,97,91,23,9,16,0,26,3,4,0,9,0,0,0,0,1,0,6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203659,100
1044,3684,3684,3269,2100,561,54,110,3,441,415,397,82,30,18,2,216,10,4,1,23,3,0,0,1,2,5,17,8,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3684,947,2737,2567,1909,502,13,110,0,33,170,161,68,22,17,2,33,7,4,0,0,3,0,0,1,2,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203659,100
1045,32954,32954,32218,23305,58,20,18,14,8803,736,690,12,19,9,8,618,9,3,0,6,1,0,1,0,3,1,38,15,4,0,2,2,0,4,7,3,1,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,32954,465,32489,31817,23184,57,17,13,12,8534,672,643,9,18,9,8,585,7,1,0,3,1,0,0,0,1,1,23,12,3,0,1,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,203659,100
