County,First Dose,Series Complete,Report as of
Richmond,120946,64869,3/21/21
Bronx,217166,118665,3/22/21
Kings,490218,237459,3/22/21
New York,489194,267391,3/22/21
Queens,546989,269195,3/22/21
Richmond,122081,65762,3/22/21
Bronx,221216,121711,3/23/21
Kings,497981,246023,3/23/21
New York,496497,275399,3/23/21
Queens,556484,278039,3/23/21
Richmond,122923,66807,3/23/21
Bronx,228556,126074,3/24/21
Kings,512416,256503,3/24/21
New York,510514,285743,3/24/21
Queens,572362,289063,3/24/21
Richmond,125218,68699,3/24/21
Bronx,236004,130899,3/25/21
Kings,528188,268525,3/25/21
New York,526856,297826,3/25/21
Queens,589869,302211,3/25/21
Richmond,128222,71340,3/25/21
Bronx,241531,135089,3/26/21
Kings,537998,280710,3/26/21
New York,536572,310006,3/26/21
Queens,601231,315202,3/26/21
Richmond,130279,74144,3/26/21
Bronx,246132,139515,3/27/21
Kings,549692,291541,3/27/21
New York,546405,320743,3/27/21
Queens,613250,328235,3/27/21
Richmond,132926,76854,3/27/21
Bronx,249082,142111,3/28/21
Kings,557413,300682,3/28/21
New York,552555,329361,3/28/21
Queens,622274,341440,3/28/21
Richmond,134479,79148,3/28/21
Bronx,253216,146344,3/29/21
Kings,565550,310205,3/29/21
New York,558965,337773,3/29/21
Queens,631233,352881,3/29/21
Richmond,137245,81374,3/29/21
Bronx,258065,150376,3/30/21
Kings,573801,319477,3/30/21
New York,566574,345915,3/30/21
Queens,640775,362589,3/30/21
Richmond,138589,82427,3/30/21
Bronx,264223,155198,3/31/21
Kings,586671,331487,3/31/21
New York,579612,357307,3/31/21
Queens,654017,375692,3/31/21
Richmond,140089,84900,3/31/21
Bronx,271446,161104,4/1/21
Kings,602515,346456,4/1/21
New York,595693,370678,4/1/21
Queens,669987,392563,4/1/21
Richmond,142234,88742,4/1/21
Bronx,278678,168206,4/2/21
Kings,618807,360750,4/2/21
New York,610084,382600,4/2/21
Queens,686462,409756,4/2/21
Richmond,144411,91595,4/2/21
Bronx,283346,173492,4/3/21
Kings,632398,373238,4/3/21
New York,622373,393094,4/3/21
Queens,700782,426059,4/3/21
Richmond,146277,94285,4/3/21
Bronx,285885,175603,4/4/21
Kings,641173,381683,4/4/21
New York,630104,398156,4/4/21
Queens,709956,436657,4/4/21
Richmond,147496,95897,4/4/21
Bronx,290546,179597,4/5/21
Kings,652667,392514,4/5/21
New York,638922,405457,4/5/21
Queens,722480,447734,4/5/21
Richmond,149393,96997,4/5/21
Bronx,297009,184400,4/6/21
Kings,667146,405143,4/6/21
New York,654871,414747,4/6/21
Queens,737742,459670,4/6/21
Richmond,152207,98276,4/6/21
Bronx,303702,189108,4/7/21
Kings,686016,417013,4/7/21
New York,670426,425313,4/7/21
Queens,758421,471538,4/7/21
Richmond,154971,100269,4/7/21
Bronx,312410,196075,4/8/21
Kings,707525,431515,4/8/21
New York,690390,438932,4/8/21
Queens,780723,488452,4/8/21
Richmond,158855,103754,4/8/21
Bronx,322673,204713,4/9/21
Kings,729078,447364,4/9/21
New York,709341,453408,4/9/21
Queens,801811,505113,4/9/21
Richmond,162837,108971,4/9/21
Bronx,329470,210455,4/10/21
Kings,746815,459053,4/10/21
New York,724017,465077,4/10/21
Queens,819574,519335,4/10/21
Richmond,164992,111687,4/10/21
Bronx,333301,214004,4/11/21
Kings,762640,469111,4/11/21
New York,735784,475535,4/11/21
Queens,835833,531672,4/11/21
Richmond,167063,114280,4/11/21
Bronx,339991,219076,4/12/21
Kings,780154,480872,4/12/21
New York,750042,485686,4/12/21
Queens,854585,543579,4/12/21
Richmond,169431,116019,4/12/21
Bronx,345400,223068,4/13/21
Kings,794732,488756,4/13/21
New York,762592,492738,4/13/21
Queens,869287,551505,4/13/21
Richmond,171806,117349,4/13/21
Bronx,350851,227888,4/14/21
Kings,808384,497211,4/14/21
New York,773595,500922,4/14/21
Queens,884750,560783,4/14/21
Richmond,173668,118633,4/14/21
Bronx,356909,233830,4/15/21
Kings,823590,508133,4/15/21
New York,784933,509933,4/15/21
Queens,901139,572991,4/15/21
Richmond,176438,120723,4/15/21
Bronx,363008,239878,4/16/21
Kings,839128,519920,4/16/21
New York,797371,520146,4/16/21
Queens,918323,586480,4/16/21
Richmond,179152,122840,4/16/21
Bronx,367694,244619,4/17/21
Kings,853075,529618,4/17/21
New York,806592,528156,4/17/21
Queens,935056,598380,4/17/21
Richmond,181201,125836,4/17/21
Bronx,370807,248131,4/18/21
Kings,863209,536895,4/18/21
New York,812493,533480,4/18/21
Queens,946692,607936,4/18/21
Richmond,182418,128110,4/18/21
Bronx,376420,253313,4/19/21
Kings,875976,545546,4/19/21
New York,821111,542427,4/19/21
Queens,961991,617945,4/19/21
Richmond,184114,129782,4/19/21
Bronx,381767,257511,4/20/21
Kings,888640,553110,4/20/21
New York,830159,549694,4/20/21
Queens,975569,626854,4/20/21
Richmond,185434,131259,4/20/21
Bronx,386175,261927,4/21/21
Kings,897790,562204,4/21/21
New York,836157,558516,4/21/21
Queens,987640,636059,4/21/21
Richmond,186672,132207,4/21/21
Bronx,390729,266664,4/22/21
Kings,907269,572997,4/22/21
New York,842389,568416,4/22/21
Queens,998793,646384,4/22/21
Richmond,188113,134075,4/22/21
Bronx,395704,271169,4/23/21
Kings,919469,585062,4/23/21
New York,849542,578272,4/23/21
Queens,1010509,657088,4/23/21
Richmond,189819,135999,4/23/21
Bronx,399236,275299,4/24/21
Kings,926939,595613,4/24/21
New York,854484,587376,4/24/21
Queens,1021824,668243,4/24/21
Richmond,190949,137950,4/24/21
Bronx,401341,277976,4/25/21
Kings,932563,604060,4/25/21
New York,857740,594927,4/25/21
Queens,1029740,677590,4/25/21
Richmond,191774,139400,4/25/21
Bronx,405548,282117,4/26/21
Kings,940509,615331,4/26/21
New York,863093,605812,4/26/21
Queens,1040328,689430,4/26/21
Richmond,192800,140972,4/26/21
Bronx,410781,288044,4/27/21
Kings,951000,630876,4/27/21
New York,871357,623918,4/27/21
Queens,1053235,704485,4/27/21
Richmond,194116,144160,4/27/21
Bronx,416067,294327,4/28/21
Kings,960472,649100,4/28/21
New York,878605,640954,4/28/21
Queens,1064743,722766,4/28/21
Richmond,195318,147221,4/28/21
Bronx,421620,300766,4/29/21
Kings,968416,665713,4/29/21
New York,883946,656125,4/29/21
Queens,1074620,739343,4/29/21
Richmond,196586,150191,4/29/21
Bronx,426451,305926,4/30/21
Kings,975896,679932,4/30/21
New York,889101,667897,4/30/21
