Region,County,First Dose,Series Complete,Report as of
North Country,St. Lawrence,601,1,2020-12-20
Southern Tier,Steuben,6,0,2020-12-20
Long Island,Suffolk,1710,7,2020-12-20
Mid-Hudson,Sullivan,55,2,2020-12-20
Southern Tier,Tioga,2,0,2020-12-20
Southern Tier,Tompkins,11,0,2020-12-20
Mid-Hudson,Ulster,207,2,2020-12-20
Capital Region,Warren,112,0,2020-12-20
Capital Region,Washington,41,0,2020-12-20
Finger Lakes,Wayne,46,1,2020-12-20
Mid-Hudson,Westchester,1671,6,2020-12-20
Finger Lakes,Wyoming,23,0,2020-12-20
Finger Lakes,Yates,6,0,2020-12-20
Capital Region,Albany,881,2,2020-12-21
Western New York,Allegany,51,0,2020-12-21
New York City,Bronx,936,2,2020-12-21
Southern Tier,Broome,19,0,2020-12-21
Western New York,Cattaraugus,184,0,2020-12-21
Central New York,Cayuga,60,0,2020-12-21
Western New York,Chautauqua,172,0,2020-12-21
Southern Tier,Chemung,5,1,2020-12-21
Southern Tier,Chenango,17,0,2020-12-21
North Country,Clinton,100,0,2020-12-21
Capital Region,Columbia,102,1,2020-12-21
Central New York,Cortland,18,0,2020-12-21
Southern Tier,Delaware,5,0,2020-12-21
Mid-Hudson,Dutchess,407,5,2020-12-21
Western New York,Erie,2902,4,2020-12-21
North Country,Essex,37,0,2020-12-21
North Country,Franklin,169,0,2020-12-21
Mohawk Valley,Fulton,77,0,2020-12-21
Finger Lakes,Genesee,34,1,2020-12-21
Capital Region,Greene,49,1,2020-12-21
North Country,Hamilton,2,0,2020-12-21
Mohawk Valley,Herkimer,89,0,2020-12-21
North Country,Jefferson,29,0,2020-12-21
New York City,Kings,3961,14,2020-12-21
North Country,Lewis,4,0,2020-12-21
Finger Lakes,Livingston,55,0,2020-12-21
Central New York,Madison,121,0,2020-12-21
Finger Lakes,Monroe,2036,3,2020-12-21
Mohawk Valley,Montgomery,99,0,2020-12-21
Long Island,Nassau,3022,16,2020-12-21
New York City,New York,4858,9,2020-12-21
Western New York,Niagara,416,0,2020-12-21
Mohawk Valley,Oneida,399,0,2020-12-21
Central New York,Onondaga,1098,5,2020-12-21
Finger Lakes,Ontario,108,0,2020-12-21
Mid-Hudson,Orange,946,8,2020-12-21
Finger Lakes,Orleans,28,0,2020-12-21
Central New York,Oswego,54,0,2020-12-21
Mohawk Valley,Otsego,160,0,2020-12-21
Mid-Hudson,Putnam,104,3,2020-12-21
New York City,Queens,2839,14,2020-12-21
Capital Region,Rensselaer,239,2,2020-12-21
New York City,Richmond,1284,3,2020-12-21
Mid-Hudson,Rockland,668,0,2020-12-21
Capital Region,Saratoga,576,1,2020-12-21
Capital Region,Schenectady,368,0,2020-12-21
Mohawk Valley,Schoharie,21,0,2020-12-21
Southern Tier,Schuyler,0,0,2020-12-21
Finger Lakes,Seneca,7,0,2020-12-21
North Country,St. Lawrence,651,1,2020-12-21
Southern Tier,Steuben,10,0,2020-12-21
Long Island,Suffolk,2082,9,2020-12-21
Mid-Hudson,Sullivan,71,2,2020-12-21
Southern Tier,Tioga,2,0,2020-12-21
Southern Tier,Tompkins,22,0,2020-12-21
Mid-Hudson,Ulster,257,2,2020-12-21
Capital Region,Warren,134,0,2020-12-21
Capital Region,Washington,55,0,2020-12-21
Finger Lakes,Wayne,61,1,2020-12-21
Mid-Hudson,Westchester,2000,7,2020-12-21
Finger Lakes,Wyoming,30,0,2020-12-21
Finger Lakes,Yates,6,0,2020-12-21
Capital Region,Albany,1093,2,2020-12-22
Western New York,Allegany,72,0,2020-12-22
New York City,Bronx,1353,3,2020-12-22
Southern Tier,Broome,42,0,2020-12-22
Western New York,Cattaraugus,231,0,2020-12-22
Central New York,Cayuga,102,0,2020-12-22
Western New York,Chautauqua,190,0,2020-12-22
Southern Tier,Chemung,5,1,2020-12-22
Southern Tier,Chenango,38,0,2020-12-22
North Country,Clinton,213,0,2020-12-22
Capital Region,Columbia,116,1,2020-12-22
Central New York,Cortland,119,0,2020-12-22
Southern Tier,Delaware,10,0,2020-12-22
Mid-Hudson,Dutchess,545,7,2020-12-22
Western New York,Erie,3845,8,2020-12-22
North Country,Essex,60,0,2020-12-22
North Country,Franklin,196,0,2020-12-22
Mohawk Valley,Fulton,86,0,2020-12-22
Finger Lakes,Genesee,42,1,2020-12-22
Capital Region,Greene,56,1,2020-12-22
North Country,Hamilton,2,0,2020-12-22
Mohawk Valley,Herkimer,106,0,2020-12-22
North Country,Jefferson,37,0,2020-12-22
