Region,County,First Dose,Series Complete,Report as of
Capital Region,Albany,181589,160582,2021-05-22
Western New York,Allegany,15367,14005,2021-05-22
New York City,Bronx,530122,428989,2021-05-22
Southern Tier,Broome,97920,87372,2021-05-22
Western New York,Cattaraugus,29223,25097,2021-05-22
Central New York,Cayuga,34678,30984,2021-05-22
Western New York,Chautauqua,56233,48880,2021-05-22
Southern Tier,Chemung,33730,30278,2021-05-22
Southern Tier,Chenango,21567,19497,2021-05-22
North Country,Clinton,44214,40182,2021-05-22
Capital Region,Columbia,32186,28499,2021-05-22
Central New York,Cortland,21373,18832,2021-05-22
Southern Tier,Delaware,18412,16588,2021-05-22
Mid-Hudson,Dutchess,153863,132424,2021-05-22
Western New York,Erie,487553,422966,2021-05-22
North Country,Essex,20916,18935,2021-05-22
North Country,Franklin,22723,20643,2021-05-22
Mohawk Valley,Fulton,20566,18002,2021-05-22
Finger Lakes,Genesee,25865,22767,2021-05-22
Capital Region,Greene,22562,19519,2021-05-22
North Country,Hamilton,2850,2656,2021-05-22
Mohawk Valley,Herkimer,25825,22904,2021-05-22
North Country,Jefferson,43872,38487,2021-05-22
New York City,Kings,1115151,931247,2021-05-22
North Country,Lewis,10089,9140,2021-05-22
Finger Lakes,Livingston,28714,25691,2021-05-22
Central New York,Madison,39128,34744,2021-05-22
Finger Lakes,Monroe,406007,362111,2021-05-22
Mohawk Valley,Montgomery,24212,21423,2021-05-22
Long Island,Nassau,802270,686203,2021-05-22
New York City,New York,989045,858790,2021-05-22
Western New York,Niagara,103514,89937,2021-05-22
Mohawk Valley,Oneida,106933,95030,2021-05-22
Central New York,Onondaga,257329,232093,2021-05-22
Finger Lakes,Ontario,61255,54687,2021-05-22
Mid-Hudson,Orange,163715,139495,2021-05-22
Finger Lakes,Orleans,15950,14114,2021-05-22
Central New York,Oswego,54531,48415,2021-05-22
Mohawk Valley,Otsego,29564,26803,2021-05-22
Mid-Hudson,Putnam,55670,46916,2021-05-22
New York City,Queens,1249798,1035427,2021-05-22
Capital Region,Rensselaer,84771,75293,2021-05-22
New York City,Richmond,220388,189597,2021-05-22
Mid-Hudson,Rockland,148554,127578,2021-05-22
Capital Region,Saratoga,136206,120954,2021-05-22
Capital Region,Schenectady,94367,82482,2021-05-22
Mohawk Valley,Schoharie,13619,12110,2021-05-22
Southern Tier,Schuyler,8037,7297,2021-05-22
Finger Lakes,Seneca,14092,12293,2021-05-22
North Country,St. Lawrence,50357,45636,2021-05-22
Southern Tier,Steuben,37199,33041,2021-05-22
Long Island,Suffolk,782661,664425,2021-05-22
Mid-Hudson,Sullivan,32882,27929,2021-05-22
Southern Tier,Tioga,18260,16394,2021-05-22
Southern Tier,Tompkins,64795,58476,2021-05-22
Mid-Hudson,Ulster,103206,90239,2021-05-22
Capital Region,Warren,38312,34709,2021-05-22
Capital Region,Washington,28917,25717,2021-05-22
Finger Lakes,Wayne,43708,39084,2021-05-22
Mid-Hudson,Westchester,560848,479765,2021-05-22
Finger Lakes,Wyoming,16323,14418,2021-05-22
Finger Lakes,Yates,10539,9479,2021-05-22
Capital Region,Albany,181992,160966,2021-05-23
Western New York,Allegany,15401,14014,2021-05-23
New York City,Bronx,533165,431577,2021-05-23
Southern Tier,Broome,98139,87628,2021-05-23
Western New York,Cattaraugus,29298,25157,2021-05-23
Central New York,Cayuga,34830,31063,2021-05-23
Western New York,Chautauqua,56332,49024,2021-05-23
Southern Tier,Chemung,33802,30320,2021-05-23
Southern Tier,Chenango,21660,19556,2021-05-23
North Country,Clinton,44349,40253,2021-05-23
Capital Region,Columbia,32250,28549,2021-05-23
Central New York,Cortland,21420,18853,2021-05-23
Southern Tier,Delaware,18454,16619,2021-05-23
Mid-Hudson,Dutchess,154175,132745,2021-05-23
Western New York,Erie,489233,424436,2021-05-23
North Country,Essex,20960,18956,2021-05-23
North Country,Franklin,22767,20667,2021-05-23
Mohawk Valley,Fulton,20628,18047,2021-05-23
Finger Lakes,Genesee,25942,22829,2021-05-23
Capital Region,Greene,22613,19551,2021-05-23
North Country,Hamilton,2851,2656,2021-05-23
Mohawk Valley,Herkimer,25897,22956,2021-05-23
North Country,Jefferson,43945,38563,2021-05-23
New York City,Kings,1119659,936703,2021-05-23
North Country,Lewis,10103,9156,2021-05-23
Finger Lakes,Livingston,28802,25768,2021-05-23
Central New York,Madison,39253,34786,2021-05-23
Finger Lakes,Monroe,407200,363149,2021-05-23
Mohawk Valley,Montgomery,24273,21475,2021-05-23
Long Island,Nassau,804863,689012,2021-05-23
New York City,New York,996596,866100,2021-05-23
Western New York,Niagara,103814,90266,2021-05-23
Mohawk Valley,Oneida,107258,95226,2021-05-23
Central New York,Onondaga,258198,232553,2021-05-23
Finger Lakes,Ontario,61435,54826,2021-05-23
Mid-Hudson,Orange,164384,139942,2021-05-23
Finger Lakes,Orleans,16008,14158,2021-05-23
Central New York,Oswego,54695,48516,2021-05-23
Mohawk Valley,Otsego,29628,26864,2021-05-23
Mid-Hudson,Putnam,55840,47058,2021-05-23
New York City,Queens,1256148,1042483,2021-05-23
Capital Region,Rensselaer,85013,75524,2021-05-23
New York City,Richmond,220947,190300,2021-05-23
Mid-Hudson,Rockland,148978,127861,2021-05-23
Capital Region,Saratoga,136589,121270,2021-05-23
Capital Region,Schenectady,94581,82701,2021-05-23
Mohawk Valley,Schoharie,13668,12144,2021-05-23
Southern Tier,Schuyler,8043,7299,2021-05-23
Finger Lakes,Seneca,14147,12311,2021-05-23
North Country,St. Lawrence,50433,45738,2021-05-23
Southern Tier,Steuben,37276,33103,2021-05-23
Long Island,Suffolk,785163,667050,2021-05-23
Mid-Hudson,Sullivan,32959,28017,2021-05-23
Southern Tier,Tioga,18327,16428,2021-05-23
Southern Tier,Tompkins,65531,58533,2021-05-23
Mid-Hudson,Ulster,103421,90415,2021-05-23
Capital Region,Warren,38414,34798,2021-05-23
Capital Region,Washington,29028,25806,2021-05-23
Finger Lakes,Wayne,43873,39192,2021-05-23
Mid-Hudson,Westchester,562798,481424,2021-05-23
Finger Lakes,Wyoming,16370,14460,2021-05-23
Finger Lakes,Yates,10568,9490,2021-05-23
Capital Region,Albany,182564,161594,2021-05-24
Western New York,Allegany,15474,14046,2021-05-24
New York City,Bronx,544940,443031,2021-05-24
Southern Tier,Broome,98590,88045,2021-05-24
Western New York,Cattaraugus,29600,25318,2021-05-24
Central New York,Cayuga,35006,31183,2021-05-24
Western New York,Chautauqua,56662,49219,2021-05-24
Southern Tier,Chemung,33882,30366,2021-05-24
Southern Tier,Chenango,21754,19747,2021-05-24
North Country,Clinton,44556,40381,2021-05-24
Capital Region,Columbia,32442,28645,2021-05-24
Central New York,Cortland,21493,18913,2021-05-24
Southern Tier,Delaware,18543,16734,2021-05-24
Mid-Hudson,Dutchess,155626,133255,2021-05-24
Western New York,Erie,491375,426405,2021-05-24
North Country,Essex,21076,19019,2021-05-24
North Country,Franklin,22997,20718,2021-05-24
Mohawk Valley,Fulton,20707,18128,2021-05-24
Finger Lakes,Genesee,26037,22966,2021-05-24
Capital Region,Greene,22686,19616,2021-05-24
North Country,Hamilton,2853,2658,2021-05-24
Mohawk Valley,Herkimer,26046,23071,2021-05-24
North Country,Jefferson,44185,38833,2021-05-24
New York City,Kings,1125348,943234,2021-05-24
North Country,Lewis,10160,9190,2021-05-24
Finger Lakes,Livingston,28880,25840,2021-05-24
Central New York,Madison,39420,34927,2021-05-24
Finger Lakes,Monroe,408752,364365,2021-05-24
Mohawk Valley,Montgomery,24361,21571,2021-05-24
Long Island,Nassau,807394,692757,2021-05-24
New York City,New York,1001019,870547,2021-05-24
Western New York,Niagara,104149,90615,2021-05-24
Mohawk Valley,Oneida,107865,95575,2021-05-24
Central New York,Onondaga,259256,233318,2021-05-24
Finger Lakes,Ontario,61547,54915,2021-05-24
Mid-Hudson,Orange,164968,140781,2021-05-24
Finger Lakes,Orleans,16078,14223,2021-05-24
Central New York,Oswego,55087,48897,2021-05-24
Mohawk Valley,Otsego,29788,26967,2021-05-24
Mid-Hudson,Putnam,56009,47510,2021-05-24
New York City,Queens,1262739,1050974,2021-05-24
Capital Region,Rensselaer,85303,75887,2021-05-24
New York City,Richmond,221669,191104,2021-05-24
Mid-Hudson,Rockland,149570,128721,2021-05-24
Capital Region,Saratoga,136934,121631,2021-05-24
Capital Region,Schenectady,95020,83120,2021-05-24
Mohawk Valley,Schoharie,13723,12204,2021-05-24
Southern Tier,Schuyler,8059,7305,2021-05-24
Finger Lakes,Seneca,14204,12388,2021-05-24
North Country,St. Lawrence,50718,45922,2021-05-24
Southern Tier,Steuben,37519,33214,2021-05-24
Long Island,Suffolk,789218,671848,2021-05-24
Mid-Hudson,Sullivan,33060,28129,2021-05-24
Southern Tier,Tioga,18394,16488,2021-05-24
Southern Tier,Tompkins,65648,58656,2021-05-24
Mid-Hudson,Ulster,103770,90765,2021-05-24
Capital Region,Warren,38628,34976,2021-05-24
Capital Region,Washington,29154,25944,2021-05-24
Finger Lakes,Wayne,44030,39292,2021-05-24
Mid-Hudson,Westchester,564875,484230,2021-05-24
Finger Lakes,Wyoming,16478,14607,2021-05-24
Finger Lakes,Yates,10594,9510,2021-05-24
Capital Region,Albany,183316,162490,2021-05-25
Western New York,Allegany,15585,14089,2021-05-25
New York City,Bronx,549308,447187,2021-05-25
Southern Tier,Broome,98924,88354,2021-05-25
Western New York,Cattaraugus,29968,25470,2021-05-25
Central New York,Cayuga,35282,31324,2021-05-25
Western New York,Chautauqua,57053,49393,2021-05-25
Southern Tier,Chemung,33945,30437,2021-05-25
Southern Tier,Chenango,21859,19820,2021-05-25
North Country,Clinton,44781,40522,2021-05-25
Capital Region,Columbia,32632,28800,2021-05-25
Central New York,Cortland,21624,19004,2021-05-25
Southern Tier,Delaware,18590,16791,2021-05-25
Mid-Hudson,Dutchess,156312,133828,2021-05-25
Western New York,Erie,493328,428722,2021-05-25
North Country,Essex,21173,19067,2021-05-25
North Country,Franklin,23186,20771,2021-05-25
Mohawk Valley,Fulton,20817,18189,2021-05-25
Finger Lakes,Genesee,26122,23031,2021-05-25
Capital Region,Greene,22805,19801,2021-05-25
North Country,Hamilton,2886,2667,2021-05-25
Mohawk Valley,Herkimer,26170,23166,2021-05-25
North Country,Jefferson,44607,39083,2021-05-25
New York City,Kings,1138733,955490,2021-05-25
North Country,Lewis,10197,9220,2021-05-25
Finger Lakes,Livingston,29058,25953,2021-05-25
Central New York,Madison,39603,35061,2021-05-25
Finger Lakes,Monroe,410232,366011,2021-05-25
Mohawk Valley,Montgomery,24462,21636,2021-05-25
Long Island,Nassau,811158,696780,2021-05-25
New York City,New York,1005451,875430,2021-05-25
Western New York,Niagara,104656,90986,2021-05-25
Mohawk Valley,Oneida,108289,95940,2021-05-25
Central New York,Onondaga,260787,234164,2021-05-25
Finger Lakes,Ontario,61843,55093,2021-05-25
Mid-Hudson,Orange,165619,141651,2021-05-25
Finger Lakes,Orleans,16252,14419,2021-05-25
Central New York,Oswego,55566,49132,2021-05-25
Mohawk Valley,Otsego,29889,27070,2021-05-25
Mid-Hudson,Putnam,56262,47976,2021-05-25
New York City,Queens,1271203,1060171,2021-05-25
Capital Region,Rensselaer,85738,76313,2021-05-25
New York City,Richmond,223357,192664,2021-05-25
Mid-Hudson,Rockland,150197,129306,2021-05-25
Capital Region,Saratoga,137604,122117,2021-05-25
Capital Region,Schenectady,95379,83545,2021-05-25
Mohawk Valley,Schoharie,13760,12236,2021-05-25
Southern Tier,Schuyler,8095,7312,2021-05-25
Finger Lakes,Seneca,14254,12423,2021-05-25
North Country,St. Lawrence,51017,46063,2021-05-25
Southern Tier,Steuben,37671,33382,2021-05-25
Long Island,Suffolk,792527,676012,2021-05-25
Mid-Hudson,Sullivan,33159,28302,2021-05-25
Southern Tier,Tioga,18449,16535,2021-05-25
Southern Tier,Tompkins,65795,58759,2021-05-25
Mid-Hudson,Ulster,104070,91080,2021-05-25
Capital Region,Warren,38741,35097,2021-05-25
Capital Region,Washington,29277,26033,2021-05-25
Finger Lakes,Wayne,44223,39473,2021-05-25
Mid-Hudson,Westchester,567790,486943,2021-05-25
Finger Lakes,Wyoming,16570,14685,2021-05-25
Finger Lakes,Yates,10614,9521,2021-05-25
Capital Region,Albany,183909,163423,2021-05-26
Western New York,Allegany,15659,14135,2021-05-26
New York City,Bronx,553525,451391,2021-05-26
Southern Tier,Broome,99321,88821,2021-05-26
Western New York,Cattaraugus,30193,25727,2021-05-26
Central New York,Cayuga,35581,31434,2021-05-26
Western New York,Chautauqua,57394,49748,2021-05-26
Southern Tier,Chemung,34157,30596,2021-05-26
Southern Tier,Chenango,21968,19894,2021-05-26
North Country,Clinton,45032,40625,2021-05-26
Capital Region,Columbia,32877,29137,2021-05-26
Central New York,Cortland,21717,19098,2021-05-26
Southern Tier,Delaware,18721,16887,2021-05-26
Mid-Hudson,Dutchess,157196,134568,2021-05-26
Western New York,Erie,495542,431069,2021-05-26
North Country,Essex,21289,19156,2021-05-26
North Country,Franklin,23355,20820,2021-05-26
Mohawk Valley,Fulton,20950,18300,2021-05-26
Finger Lakes,Genesee,26310,23266,2021-05-26
Capital Region,Greene,22951,19894,2021-05-26
North Country,Hamilton,2902,2681,2021-05-26
Mohawk Valley,Herkimer,26277,23299,2021-05-26
North Country,Jefferson,44899,39307,2021-05-26
New York City,Kings,1144950,962173,2021-05-26
North Country,Lewis,10336,9234,2021-05-26
Finger Lakes,Livingston,29254,26060,2021-05-26
Central New York,Madison,39818,35274,2021-05-26
Finger Lakes,Monroe,412338,367742,2021-05-26
Mohawk Valley,Montgomery,24604,21773,2021-05-26
Long Island,Nassau,814685,701524,2021-05-26
New York City,New York,1009070,879544,2021-05-26
Western New York,Niagara,105247,92058,2021-05-26
Mohawk Valley,Oneida,108940,96290,2021-05-26
Central New York,Onondaga,261919,234829,2021-05-26
Finger Lakes,Ontario,62224,55393,2021-05-26
Mid-Hudson,Orange,166308,142121,2021-05-26
Finger Lakes,Orleans,16336,14499,2021-05-26
Central New York,Oswego,55953,49384,2021-05-26
Mohawk Valley,Otsego,29979,27188,2021-05-26
Mid-Hudson,Putnam,56516,48243,2021-05-26
New York City,Queens,1278288,1068468,2021-05-26
Capital Region,Rensselaer,86006,76690,2021-05-26
New York City,Richmond,224450,193598,2021-05-26
Mid-Hudson,Rockland,150899,130004,2021-05-26
Capital Region,Saratoga,138079,122590,2021-05-26
Capital Region,Schenectady,95809,83933,2021-05-26
Mohawk Valley,Schoharie,13815,12362,2021-05-26
Southern Tier,Schuyler,8156,7338,2021-05-26
Finger Lakes,Seneca,14318,12475,2021-05-26
North Country,St. Lawrence,51375,46278,2021-05-26
Southern Tier,Steuben,37871,33575,2021-05-26
Long Island,Suffolk,796803,681202,2021-05-26
Mid-Hudson,Sullivan,33281,28452,2021-05-26
Southern Tier,Tioga,18537,16633,2021-05-26
Southern Tier,Tompkins,65952,59283,2021-05-26
Mid-Hudson,Ulster,104642,91465,2021-05-26
Capital Region,Warren,38853,35186,2021-05-26
Capital Region,Washington,29446,26193,2021-05-26
Finger Lakes,Wayne,44452,39616,2021-05-26
Mid-Hudson,Westchester,570225,489831,2021-05-26
Finger Lakes,Wyoming,16645,14762,2021-05-26
Finger Lakes,Yates,10719,9577,2021-05-26
Capital Region,Albany,184594,164149,2021-05-27
Western New York,Allegany,15872,14195,2021-05-27
New York City,Bronx,576014,458337,2021-05-27
Southern Tier,Broome,99872,89433,2021-05-27
Western New York,Cattaraugus,30391,25920,2021-05-27
Central New York,Cayuga,35835,31601,2021-05-27
Western New York,Chautauqua,57632,49963,2021-05-27
Southern Tier,Chemung,34305,30706,2021-05-27
Southern Tier,Chenango,22118,20016,2021-05-27
North Country,Clinton,45244,40786,2021-05-27
Capital Region,Columbia,33029,29371,2021-05-27
Central New York,Cortland,21786,19158,2021-05-27
Southern Tier,Delaware,18808,16999,2021-05-27
Mid-Hudson,Dutchess,157837,135198,2021-05-27
Western New York,Erie,497758,433222,2021-05-27
North Country,Essex,21374,19321,2021-05-27
North Country,Franklin,23467,20919,2021-05-27
Mohawk Valley,Fulton,21086,18407,2021-05-27
Finger Lakes,Genesee,26420,23356,2021-05-27
Capital Region,Greene,23193,20001,2021-05-27
North Country,Hamilton,2916,2701,2021-05-27
Mohawk Valley,Herkimer,26411,23391,2021-05-27
North Country,Jefferson,45134,39462,2021-05-27
New York City,Kings,1151061,968957,2021-05-27
North Country,Lewis,10415,9265,2021-05-27
Finger Lakes,Livingston,29420,26128,2021-05-27
Central New York,Madison,40045,35396,2021-05-27
Finger Lakes,Monroe,413915,369342,2021-05-27
Mohawk Valley,Montgomery,24708,21930,2021-05-27
Long Island,Nassau,818194,705961,2021-05-27
New York City,New York,1013084,884121,2021-05-27
Western New York,Niagara,105954,92614,2021-05-27
Mohawk Valley,Oneida,109459,96694,2021-05-27
Central New York,Onondaga,263258,235632,2021-05-27
Finger Lakes,Ontario,62529,55689,2021-05-27
Mid-Hudson,Orange,167296,143136,2021-05-27
Finger Lakes,Orleans,16409,14566,2021-05-27
Central New York,Oswego,56190,49539,2021-05-27
Mohawk Valley,Otsego,30151,27293,2021-05-27
Mid-Hudson,Putnam,56833,48493,2021-05-27
New York City,Queens,1285099,1076211,2021-05-27
Capital Region,Rensselaer,86376,77035,2021-05-27
New York City,Richmond,225552,194674,2021-05-27
Mid-Hudson,Rockland,151657,130818,2021-05-27
Capital Region,Saratoga,138590,123031,2021-05-27
Capital Region,Schenectady,96305,84270,2021-05-27
Mohawk Valley,Schoharie,13855,12390,2021-05-27
Southern Tier,Schuyler,8210,7363,2021-05-27
Finger Lakes,Seneca,14376,12544,2021-05-27
North Country,St. Lawrence,51656,46542,2021-05-27
Southern Tier,Steuben,38105,33826,2021-05-27
Long Island,Suffolk,800093,685814,2021-05-27
Mid-Hudson,Sullivan,33473,28797,2021-05-27
Southern Tier,Tioga,18636,16716,2021-05-27
Southern Tier,Tompkins,66116,59724,2021-05-27
Mid-Hudson,Ulster,105056,91982,2021-05-27
Capital Region,Warren,38986,35325,2021-05-27
Capital Region,Washington,29592,26331,2021-05-27
Finger Lakes,Wayne,44690,39815,2021-05-27
Mid-Hudson,Westchester,572900,492185,2021-05-27
Finger Lakes,Wyoming,16730,14889,2021-05-27
Finger Lakes,Yates,10828,9653,2021-05-27
Capital Region,Albany,185319,164782,2021-05-28
Western New York,Allegany,16093,14243,2021-05-28
New York City,Bronx,587103,467224,2021-05-28
Southern Tier,Broome,100224,89784,2021-05-28
Western New York,Cattaraugus,30639,26108,2021-05-28
Central New York,Cayuga,36093,31748,2021-05-28
Western New York,Chautauqua,57839,50250,2021-05-28
Southern Tier,Chemung,34654,30849,2021-05-28
Southern Tier,Chenango,22236,20182,2021-05-28
North Country,Clinton,45395,40880,2021-05-28
Capital Region,Columbia,33183,29522,2021-05-28
Central New York,Cortland,21854,19207,2021-05-28
Southern Tier,Delaware,18946,17113,2021-05-28
Mid-Hudson,Dutchess,158441,135789,2021-05-28
Western New York,Erie,500150,435228,2021-05-28
North Country,Essex,21473,19366,2021-05-28
North Country,Franklin,23568,20986,2021-05-28
Mohawk Valley,Fulton,21179,18583,2021-05-28
Finger Lakes,Genesee,26507,23491,2021-05-28
Capital Region,Greene,23338,20089,2021-05-28
North Country,Hamilton,2923,2703,2021-05-28
Mohawk Valley,Herkimer,26546,23489,2021-05-28
North Country,Jefferson,45408,39598,2021-05-28
New York City,Kings,1157293,976050,2021-05-28
North Country,Lewis,10483,9336,2021-05-28
Finger Lakes,Livingston,29588,26252,2021-05-28
Central New York,Madison,40313,35548,2021-05-28
Finger Lakes,Monroe,415578,370857,2021-05-28
Mohawk Valley,Montgomery,24814,22061,2021-05-28
Long Island,Nassau,822378,710812,2021-05-28
New York City,New York,1018128,890120,2021-05-28
Western New York,Niagara,106372,93132,2021-05-28
Mohawk Valley,Oneida,109976,97098,2021-05-28
Central New York,Onondaga,264671,236510,2021-05-28
Finger Lakes,Ontario,62726,55876,2021-05-28
Mid-Hudson,Orange,168431,143964,2021-05-28
Finger Lakes,Orleans,16573,14649,2021-05-28
Central New York,Oswego,56522,49786,2021-05-28
Mohawk Valley,Otsego,30312,27451,2021-05-28
Mid-Hudson,Putnam,57091,48704,2021-05-28
New York City,Queens,1292270,1084834,2021-05-28
Capital Region,Rensselaer,86804,77299,2021-05-28
New York City,Richmond,226652,195929,2021-05-28
Mid-Hudson,Rockland,152860,131876,2021-05-28
Capital Region,Saratoga,139139,123475,2021-05-28
Capital Region,Schenectady,96666,84659,2021-05-28
Mohawk Valley,Schoharie,13898,12464,2021-05-28
Southern Tier,Schuyler,8230,7390,2021-05-28
Finger Lakes,Seneca,14439,12581,2021-05-28
North Country,St. Lawrence,51884,46836,2021-05-28
Southern Tier,Steuben,38274,34004,2021-05-28
Long Island,Suffolk,803743,689698,2021-05-28
Mid-Hudson,Sullivan,33604,28876,2021-05-28
Southern Tier,Tioga,18738,16793,2021-05-28
Southern Tier,Tompkins,66284,59864,2021-05-28
Mid-Hudson,Ulster,105386,92441,2021-05-28
Capital Region,Warren,39189,35467,2021-05-28
Capital Region,Washington,29812,26464,2021-05-28
Finger Lakes,Wayne,44906,39979,2021-05-28
Mid-Hudson,Westchester,576237,495855,2021-05-28
Finger Lakes,Wyoming,16806,14945,2021-05-28
Finger Lakes,Yates,10848,9681,2021-05-28
Capital Region,Albany,185730,165164,2021-05-29
Western New York,Allegany,16131,14267,2021-05-29
New York City,Bronx,597226,492537,2021-05-29
Southern Tier,Broome,100466,90006,2021-05-29
Western New York,Cattaraugus,30757,26185,2021-05-29
Central New York,Cayuga,36221,31825,2021-05-29
Western New York,Chautauqua,58033,50415,2021-05-29
Southern Tier,Chemung,34914,30955,2021-05-29
Southern Tier,Chenango,22333,20230,2021-05-29
North Country,Clinton,45514,40984,2021-05-29
Capital Region,Columbia,33290,29604,2021-05-29
Central New York,Cortland,21954,19254,2021-05-29
Southern Tier,Delaware,19048,17209,2021-05-29
Mid-Hudson,Dutchess,159076,136294,2021-05-29
Western New York,Erie,503820,438369,2021-05-29
North Country,Essex,21517,19394,2021-05-29
North Country,Franklin,23630,21009,2021-05-29
Mohawk Valley,Fulton,21250,18615,2021-05-29
Finger Lakes,Genesee,26747,23667,2021-05-29
Capital Region,Greene,23412,20138,2021-05-29
North Country,Hamilton,2925,2703,2021-05-29
Mohawk Valley,Herkimer,26633,23534,2021-05-29
North Country,Jefferson,45782,39709,2021-05-29
New York City,Kings,1161568,981365,2021-05-29
North Country,Lewis,10509,9349,2021-05-29
Finger Lakes,Livingston,29739,26342,2021-05-29
Central New York,Madison,40437,35620,2021-05-29
Finger Lakes,Monroe,416822,372098,2021-05-29
Mohawk Valley,Montgomery,24882,22115,2021-05-29
Long Island,Nassau,825563,714581,2021-05-29
New York City,New York,1021568,894352,2021-05-29
Western New York,Niagara,107270,93858,2021-05-29
Mohawk Valley,Oneida,110252,97327,2021-05-29
Central New York,Onondaga,265640,237144,2021-05-29
Finger Lakes,Ontario,63000,56053,2021-05-29
Mid-Hudson,Orange,169015,144516,2021-05-29
Finger Lakes,Orleans,16619,14685,2021-05-29
Central New York,Oswego,56736,49935,2021-05-29
Mohawk Valley,Otsego,30419,27521,2021-05-29
Mid-Hudson,Putnam,57251,48861,2021-05-29
New York City,Queens,1298842,1092571,2021-05-29
Capital Region,Rensselaer,87151,77521,2021-05-29
New York City,Richmond,227592,196933,2021-05-29
Mid-Hudson,Rockland,153343,132259,2021-05-29
Capital Region,Saratoga,139611,123798,2021-05-29
Capital Region,Schenectady,96951,84951,2021-05-29
Mohawk Valley,Schoharie,13952,12515,2021-05-29
Southern Tier,Schuyler,8276,7423,2021-05-29
Finger Lakes,Seneca,14489,12620,2021-05-29
North Country,St. Lawrence,52009,46879,2021-05-29
Southern Tier,Steuben,38414,34080,2021-05-29
Long Island,Suffolk,806989,693174,2021-05-29
Mid-Hudson,Sullivan,33655,28973,2021-05-29
Southern Tier,Tioga,18814,16845,2021-05-29
Southern Tier,Tompkins,66396,59924,2021-05-29
Mid-Hudson,Ulster,105648,92700,2021-05-29
Capital Region,Warren,39274,35541,2021-05-29
Capital Region,Washington,29933,26555,2021-05-29
Finger Lakes,Wayne,45126,40153,2021-05-29
Mid-Hudson,Westchester,578005,497549,2021-05-29
Finger Lakes,Wyoming,16894,15016,2021-05-29
Finger Lakes,Yates,10876,9697,2021-05-29
Capital Region,Albany,186063,165391,2021-05-30
Western New York,Allegany,16162,14282,2021-05-30
New York City,Bronx,600085,498871,2021-05-30
Southern Tier,Broome,100674,90173,2021-05-30
Western New York,Cattaraugus,30836,26222,2021-05-30
Central New York,Cayuga,36357,31862,2021-05-30
Western New York,Chautauqua,58148,50476,2021-05-30
Southern Tier,Chemung,35036,30986,2021-05-30
Southern Tier,Chenango,22416,20257,2021-05-30
North Country,Clinton,45589,41032,2021-05-30
Capital Region,Columbia,33460,29685,2021-05-30
Central New York,Cortland,22002,19281,2021-05-30
Southern Tier,Delaware,19141,17256,2021-05-30
Mid-Hudson,Dutchess,159371,136476,2021-05-30
Western New York,Erie,505213,438995,2021-05-30
North Country,Essex,21567,19426,2021-05-30
North Country,Franklin,23696,21032,2021-05-30
Mohawk Valley,Fulton,21353,18665,2021-05-30
Finger Lakes,Genesee,26853,23729,2021-05-30
Capital Region,Greene,23502,20191,2021-05-30
North Country,Hamilton,2926,2704,2021-05-30
Mohawk Valley,Herkimer,26712,23551,2021-05-30
North Country,Jefferson,45937,39768,2021-05-30
New York City,Kings,1164322,984816,2021-05-30
North Country,Lewis,10522,9359,2021-05-30
Finger Lakes,Livingston,29862,26391,2021-05-30
Central New York,Madison,40633,35696,2021-05-30
Finger Lakes,Monroe,417901,372751,2021-05-30
Mohawk Valley,Montgomery,24932,22152,2021-05-30
Long Island,Nassau,827291,716155,2021-05-30
New York City,New York,1023345,896855,2021-05-30
Western New York,Niagara,107579,94029,2021-05-30
Mohawk Valley,Oneida,110558,97502,2021-05-30
Central New York,Onondaga,266488,237455,2021-05-30
Finger Lakes,Ontario,63184,56115,2021-05-30
Mid-Hudson,Orange,169511,144918,2021-05-30
Finger Lakes,Orleans,16687,14704,2021-05-30
Central New York,Oswego,57004,50010,2021-05-30
Mohawk Valley,Otsego,30517,27561,2021-05-30
Mid-Hudson,Putnam,57380,48924,2021-05-30
New York City,Queens,1302293,1097042,2021-05-30
Capital Region,Rensselaer,87483,77703,2021-05-30
New York City,Richmond,228147,197545,2021-05-30
Mid-Hudson,Rockland,153620,132468,2021-05-30
Capital Region,Saratoga,139992,124020,2021-05-30
Capital Region,Schenectady,97168,85128,2021-05-30
Mohawk Valley,Schoharie,13981,12540,2021-05-30
Southern Tier,Schuyler,8299,7431,2021-05-30
Finger Lakes,Seneca,14515,12642,2021-05-30
North Country,St. Lawrence,52092,46907,2021-05-30
Southern Tier,Steuben,38546,34150,2021-05-30
Long Island,Suffolk,809294,695148,2021-05-30
Mid-Hudson,Sullivan,33714,29006,2021-05-30
Southern Tier,Tioga,18912,16872,2021-05-30
Southern Tier,Tompkins,66545,59974,2021-05-30
Mid-Hudson,Ulster,105869,92883,2021-05-30
Capital Region,Warren,39431,35665,2021-05-30
Capital Region,Washington,30107,26648,2021-05-30
Finger Lakes,Wayne,45326,40230,2021-05-30
Mid-Hudson,Westchester,579132,498380,2021-05-30
Finger Lakes,Wyoming,16952,15053,2021-05-30
Finger Lakes,Yates,10896,9704,2021-05-30
Capital Region,Albany,186382,165728,2021-05-31
Western New York,Allegany,16175,14304,2021-05-31
New York City,Bronx,601191,500096,2021-05-31
Southern Tier,Broome,100845,90336,2021-05-31
Western New York,Cattaraugus,30846,26248,2021-05-31
Central New York,Cayuga,36406,31922,2021-05-31
Western New York,Chautauqua,58200,50535,2021-05-31
Southern Tier,Chemung,35147,31098,2021-05-31
